post_id,post_text,intent,location
13693213712010962,"1300 מ״ר למכירה ב7622 חלקה 35
 1300 מ״ר למכירה ב7622 חלקה 35",Sell,Unknown
67070188551685542,אשמח לדעתך מה אתם חושבים על השקעה בקרקע חקלאית בדגש על גוש דן ?,Unknown,גוש דן
33951459782602966,"מחפש לרכוש קרקע חקלאית להשקעה בכל ארץ עד 650,000₪
אשמח לקבל הצעות",Sell,Unknown
60197449105832578,"מחפש שטח לבנייה רוויה עד 30 יח״ד
מאיזור דימונה עד אשדוד
תב״ע מאושרת
שאול-050-7657575 ווצאפ",Buy,"דימונה, אשדוד"
76411956541506386,"למכירה 42 מ' בטאבו למגורים בשכונת מורדות לינקולן
אחוזה - חיפה

מחיר הקרקע 535,000 ש״ח

חיסכון ענק במחיר הסופי שתעלה הדירה ( מול דירה מקבילה מיזם )

- יחידת קרקע פרטית

- מאושרת למגורים (לא לבנייה מיידית)

- מקנה זכות לדירת מגורים במסגרת אישור תוכנית חדשה של השכונה (כרגע בועדה המחוזית)

- הסכם שיתוף בתהליך

- רישום מלא בטאבו

השכונה ממוקמת, על צלע ההר ומשקיפה לים. חיבור לצירי התחבורה הראשיים של העיר, בסמיכות למת""ם ולפארק מדעי החיים ובמרחק של דקות נסיעה בודדות ממרכז העיר ומהנמל המתחדש, יאפשרו לדיירי השכונה להנות מכל העולמות.

השכונה תהנה מנוף פתוח לים, ללא גורם מפריע.",Sell,חיפה
15502044175069091,"בגוש 6673 תמל 3006
דונם למכירה לפי 6900 למטר

ניתן לקבל אופציה",Sell,Unknown
33749778527706531,מגרש 117 דונם חקלאי עם יעוד של תחנת דלק ועוד אפשריות צמוד לקיבוץ גניגר 25 מליון שקל,Sell,גניגר
35345205531801416,"ללא תיווך

מגרש פינתי 480 מטר בטבריה המושבה

מיקום מעולה כולל פיתוח בשלבי סיום

מחיר 1.75 לפרטים

0542260947",Sell,טבריה
10261734563498208,"תיווך
למוטי מחיר
קדמת ביאליק
1850 שקל למטר פלוס מע''מ.
המחיר כולל כניסה להסכם שיתוף דומיננטי.
בפרטי בלבד.",Sell,קדמת ביאליק
28705074874690007,"מחפשים שטח של 10 או 20 דונם בגליל או בגולן
מאושר תיירות או בנייה חובה!!
רעיונות מישהו???",Buy,"גליל, בגולן"
58178621117943672,"מחפש קרקע שניתן להשים עליה מערכת סולארית

054-6716160 מאי",Buy,Unknown
48433044597677056,"*למכירה מפרטי – קרקע חקלאית מינהל!*
במיקום מעולה: *כרמי יוסף*

שטח כולל: *290 דונם*
נמכר *כיחידה אחת בלבד*

• קרקע מינהל
• גושים: 4102–4104
• השטח מסומן באדום
• מחיר לדונם: 80,000 ₪",Sell,כרמי יוסף
64612418852835066,"למכירה בגוש 6672
דונם במחיר 7200 שקלים למטר

ניתן לקבל אופציה תמל 3006

ללא הסכם שיתוף",Sell,Unknown
